Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Mikal Bridges,28,NYK,SF,62,62,2344,6.8,13.9,0.489,2.1,5.9,0.356,4.7,8,0.588,0.565,0.7,1,0.7,0.8,2.2,3,3.2,0.9,0.5,1.4,1.4,16.4
2,Josh Hart,29,NYK,SG,59,59,2230,5.3,9.7,0.546,1,3.1,0.323,4.3,6.6,0.652,0.598,2.2,2.8,0.786,2.1,7.1,9.2,5.3,1.4,0.4,2,2.5,13.8
3,Anthony Edwards,23,MIN,SG,61,61,2227,8.9,20.3,0.438,4.1,10,0.41,4.8,10.3,0.466,0.539,5.2,6.2,0.839,0.8,5.1,5.8,4.5,1.1,0.6,3.3,1.9,27.1
4,Jalen Brunson,28,NYK,PG,61,61,2162,9.3,18.9,0.492,2.3,6.1,0.377,7,12.9,0.543,0.553,5.8,7.1,0.817,0.4,2.6,3,7.5,1,0.1,2.5,2.2,26.7
5,Jayson Tatum,26,BOS,PF,59,59,2147,9.1,20,0.455,3.5,10,0.35,5.6,10,0.56,0.543,4.9,6.1,0.803,0.7,8,8.7,5.7,1.1,0.5,2.9,2.2,26.6
6,Trae Young,26,ATL,PG,59,59,2138,7.2,18,0.4,2.8,8.5,0.329,4.5,9.5,0.474,0.478,6.2,7.2,0.861,0.4,2.6,3,11.5,1.1,0.2,4.7,2,23.5
7,De'Aaron Fox,27,2TM,PG,58,58,2106,8.7,18.7,0.465,1.9,6.1,0.311,6.8,12.6,0.54,0.516,4.3,5.2,0.827,0.9,3.9,4.8,6.2,1.5,0.4,2.8,2.6,23.5
7,De'Aaron Fox,27,SAC,PG,45,45,1663,9,19.1,0.471,2,6.2,0.323,7,12.9,0.543,0.524,4.4,5.3,0.83,1,3.9,4.9,6,1.4,0.4,2.9,2.6,24.3
7,De'Aaron Fox,27,SAS,PG,13,13,443,7.6,17.3,0.439,1.5,5.9,0.254,6,11.5,0.522,0.483,3.7,4.6,0.804,0.6,3.8,4.4,7,1.9,0.4,2.6,2.8,20.4
8,Jalen Green,22,HOU,SG,63,63,2095,8.1,19.1,0.424,3.2,8.9,0.36,5,10.2,0.49,0.508,3.5,4.3,0.814,0.6,4.1,4.7,3.5,0.9,0.3,2.8,1.8,23
