Player,Team,Pos,PTS,TRB,AST
Alondes Williams,DET,SG,45,0,9
James Wiseman,IND,C,43.2,7.2,0
Alex Reese,OKC,PF,36,18,0
Shai Gilgeous-Alexander,OKC,PG,34.5,5.4,6.5
Giannis Antetokounmpo,MIL,PF,32.7,12.9,6.3
Zion Williamson,NOP,PF,31.2,9.4,6.5
Anthony Davis,DAL,PF,30.2,18.6,8.1
LaMelo Ball,CHO,PG,29,5.9,7.7
Nikola Jokić,DEN,C,28.7,12.7,10.3
Luka Dončić,DAL,PG,28.4,8.4,7.9
Joel Embiid,PHI,C,28.3,9.7,5.3
Donovan Mitchell,CLE,SG,28.1,5,5.5
Jaren Jackson Jr.,MEM,C,27.9,7.2,2.6
Cam Thomas,BRK,SG,27.8,3.9,4.1
Luka Dončić,2TM,PG,27.6,8.5,8.2
Stephen Curry,GSW,PG,27.3,5,7
Anthony Davis,2TM,PF,27.1,12.6,3.6
Anthony Edwards,MIN,SG,27.1,5.8,4.5
Anthony Davis,LAL,C,27,12.5,3.5
Franz Wagner,ORL,SF,26.7,5.9,5
Jalen Brunson,NYK,PG,26.7,3,7.5
Jayson Tatum,BOS,PF,26.6,8.7,5.7
Victor Wembanyama,SAS,C,26.3,11.9,4
Kevin Durant,PHO,PF,26.2,5.9,4.1
Daeqwon Plowden,ATL,SG,26.2,5.5,0
Cade Cunningham,DET,PG,26,6.3,9.6
Luka Dončić,LAL,PG,25.9,8.8,8.8
Norman Powell,LAC,SG,25.9,3.8,2.4
LeBron James,LAL,SF,25.8,8.4,8.8
0e'Qwan Tomlin,CLE,PF,25.7,15.4,0
Paolo Banchero,ORL,PF,25.7,7.5,5.2
Ja Morant,MEM,PG,25.6,5,9
MarJon Beauchamp,LAC,SF,25.4,6.4,4.2
Damian Lillard,MIL,PG,25.4,4.6,7.2
Zach LaVine,CHI,SF,25.3,5.1,4.8
Tyrese Maxey,PHI,PG,25.1,3.2,5.8
Devin Booker,PHO,SG,25,3.8,6.6
Darius Garland,CLE,PG,25,3,8
Karl-Anthony Towns,NYK,C,24.8,13.7,3.2
Moritz Wagner,ORL,C,24.6,9.4,2.7
Zach LaVine,2TM,SF,24.6,4.8,4.6
Kyrie Irving,DAL,SG,24.6,4.8,4.6
De'Aaron Fox,SAC,PG,24.3,4.9,6
Brandon Ingram,NOP,SF,24.2,6.1,5.6
Tyler Herro,MIA,SG,24.2,5.4,5.8
Jordan Poole,WAS,SG,24.2,3.7,5.5
Leo0rd Miller,MIN,SF,24,14.7,0
JT Thor,CLE,PF,24,5.1,0.9
De'Andre Hunter,ATL,SF,23.8,4.9,1.9
Dariq Whitehead,BRK,SF,23.8,3.7,0.6
Kristaps Porziņģis,BOS,C,23.6,8.4,2.4
Jaylen Brown,BOS,SF,23.6,6.2,4.9
De'Aaron Fox,2TM,PG,23.5,4.8,6.2
Trae Young,ATL,PG,23.5,3,11.5
RJ Barrett,TOR,SF,23.4,6.9,6.1
Jalen Williams,OKC,SG,23.4,6,5.7
CJ McCollum,NOP,PG,23.4,4,4.2
Bones Hyland,LAC,PG,23.4,3.9,4.5
Collin Sexton,UTA,SG,23.3,3.6,5.2
Moses Brown,DAL,C,23.2,15.3,1
Jo0than Kuminga,GSW,PF,23.2,6.9,3
De'Andre Hunter,2TM,SF,23.2,5.1,1.8
Moses Brown,2TM,C,23,13.3,0.6
Jalen Green,HOU,SG,23,4.7,3.5
Kawhi Leo0rd,LAC,SF,22.9,6.3,3.4
James Harden,LAC,PG,22.8,6,8.9
Moses Brown,IND,C,22.7,10.2,0
Miles Bridges,CHO,PF,22.7,8.7,4.2
Pascal Siakam,IND,PF,22.7,7.9,3.6
Javonte Green,CLE,SG,22.5,13.5,3
Jordan Clarkson,UTA,SG,22.4,4.4,5.2
David Roddy,PHI,PF,22.3,11.2,3.7
Zach LaVine,SAC,SG,22.3,3.9,4.2
Evan Mobley,CLE,PF,22.2,11.2,3.6
Kai Jones,DAL,C,22.2,8.5,0
DeMar DeRozan,SAC,SF,22.2,3.9,3.9
Alperen Şengün,HOU,C,22.1,12,5.6
Brandon Miller,CHO,SF,22.1,5.1,3.8
Ty Jerome,CLE,SG,22.1,4.8,6.1
John Collins,UTA,PF,22,9.6,2.4
Trey Murphy III,NOP,SF,22,5.2,3.8
Tristan Vukcevic,WAS,C,21.9,10.3,3.1
Jared Butler,WAS,PG,21.9,4.1,8.2
Mark Williams,CHO,C,21.7,13.8,3.2
Lauri Markkanen,UTA,PF,21.7,6.9,1.7
Malik Beasley,DET,SG,21.7,3.6,2.2
Mason Jones,SAC,SG,21.6,8.2,10.3
Jaylen Martin,BRK,SF,21.6,0,0
Cameron Johnson,BRK,PF,21.5,4.7,3.4
Nikola Vučević,CHI,C,21.4,11.5,3.8
Jamal Murray,DEN,PG,21.4,3.8,6
Jared McCain,PHI,SG,21.4,3.4,3.6
Desmond Bane,MEM,SG,21.3,6.9,6.3
Bryce McGowens,POR,SG,21.3,1.6,1.6
Jay Huff,MEM,C,21.2,6.1,1.9
Jaden Ivey,DET,SG,21.2,5,4.8
De'Andre Hunter,CLE,SF,21.1,6,1.3
Anfernee Simons,POR,SG,21.1,3,5.5
Chris Boucher,TOR,PF,21,9.4,1.4
Luka Garza,MIN,C,21,9.3,1.6
Andrew Wiggins,GSW,SF,21,5.5,2.8
Shaedon Sharpe,POR,SG,21,4.7,3.1
Julius Randle,MIN,PF,20.9,8,5
Immanuel Quickley,TOR,PG,20.9,4.1,6.9
Kevin Porter Jr.,MIL,SG,20.8,7,7.9
Jared Butler,2TM,SG,20.8,4.7,8.2
Jo0s Valančiū0s,WAS,C,20.7,14.8,4
Tre Mann,CHO,PG,20.7,4.3,4.4
Coby White,CHI,SG,20.7,3.7,4.9
Scottie Barnes,TOR,PF,20.6,8.1,6.4
Collin Gillespie,PHO,PG,20.6,5.6,6.4
Andrew Wiggins,2TM,SF,20.6,5.4,2.9
Jo0s Valančiū0s,2TM,C,20.5,14.6,3.9
