Player,Team,Pos,PTS
Alondes Williams,DET,SG,45
James Wiseman,IND,C,43.2
Alex Reese,OKC,PF,36
Shai Gilgeous-Alexander,OKC,PG,34.5
Giannis Antetokounmpo,MIL,PF,32.7
Zion Williamson,NOP,PF,31.2
Anthony Davis,DAL,PF,30.2
LaMelo Ball,CHO,PG,29
Nikola Jokić,DEN,C,28.7
Luka Dončić,DAL,PG,28.4
Joel Embiid,PHI,C,28.3
Donovan Mitchell,CLE,SG,28.1
Jaren Jackson Jr.,MEM,C,27.9
Cam Thomas,BRK,SG,27.8
Luka Dončić,2TM,PG,27.6
Stephen Curry,GSW,PG,27.3
Anthony Edwards,MIN,SG,27.1
Anthony Davis,2TM,PF,27.1
Anthony Davis,LAL,C,27
Jalen Brunson,NYK,PG,26.7
Franz Wagner,ORL,SF,26.7
Jayson Tatum,BOS,PF,26.6
Victor Wembanyama,SAS,C,26.3
Kevin Durant,PHO,PF,26.2
Daeqwon Plowden,ATL,SG,26.2
Cade Cunningham,DET,PG,26
Norman Powell,LAC,SG,25.9
Luka Dončić,LAL,PG,25.9
LeBron James,LAL,SF,25.8
Paolo Banchero,ORL,PF,25.7
0e'Qwan Tomlin,CLE,PF,25.7
Ja Morant,MEM,PG,25.6
Damian Lillard,MIL,PG,25.4
MarJon Beauchamp,LAC,SF,25.4
Zach LaVine,CHI,SF,25.3
Tyrese Maxey,PHI,PG,25.1
Devin Booker,PHO,SG,25
Darius Garland,CLE,PG,25
Karl-Anthony Towns,NYK,C,24.8
Zach LaVine,2TM,SF,24.6
Kyrie Irving,DAL,SG,24.6
Moritz Wagner,ORL,C,24.6
De'Aaron Fox,SAC,PG,24.3
Tyler Herro,MIA,SG,24.2
Jordan Poole,WAS,SG,24.2
Brandon Ingram,NOP,SF,24.2
JT Thor,CLE,PF,24
Leo0rd Miller,MIN,SF,24
De'Andre Hunter,ATL,SF,23.8
Dariq Whitehead,BRK,SF,23.8
Jaylen Brown,BOS,SF,23.6
Kristaps Porziņģis,BOS,C,23.6
Trae Young,ATL,PG,23.5
De'Aaron Fox,2TM,PG,23.5
Jalen Williams,OKC,SG,23.4
RJ Barrett,TOR,SF,23.4
CJ McCollum,NOP,PG,23.4
Bones Hyland,LAC,PG,23.4
Collin Sexton,UTA,SG,23.3
De'Andre Hunter,2TM,SF,23.2
Jo0than Kuminga,GSW,PF,23.2
Moses Brown,DAL,C,23.2
Jalen Green,HOU,SG,23
Moses Brown,2TM,C,23
Kawhi Leo0rd,LAC,SF,22.9
James Harden,LAC,PG,22.8
Pascal Siakam,IND,PF,22.7
Miles Bridges,CHO,PF,22.7
Moses Brown,IND,C,22.7
Javonte Green,CLE,SG,22.5
Jordan Clarkson,UTA,SG,22.4
Zach LaVine,SAC,SG,22.3
David Roddy,PHI,PF,22.3
DeMar DeRozan,SAC,SF,22.2
Evan Mobley,CLE,PF,22.2
Kai Jones,DAL,C,22.2
Alperen Şengün,HOU,C,22.1
Ty Jerome,CLE,SG,22.1
Brandon Miller,CHO,SF,22.1
Trey Murphy III,NOP,SF,22
John Collins,UTA,PF,22
Jared Butler,WAS,PG,21.9
Tristan Vukcevic,WAS,C,21.9
Malik Beasley,DET,SG,21.7
Lauri Markkanen,UTA,PF,21.7
Mark Williams,CHO,C,21.7
Mason Jones,SAC,SG,21.6
Jaylen Martin,BRK,SF,21.6
Cameron Johnson,BRK,PF,21.5
Jamal Murray,DEN,PG,21.4
Nikola Vučević,CHI,C,21.4
Jared McCain,PHI,SG,21.4
Desmond Bane,MEM,SG,21.3
Bryce McGowens,POR,SG,21.3
Jaden Ivey,DET,SG,21.2
Jay Huff,MEM,C,21.2
Anfernee Simons,POR,SG,21.1
De'Andre Hunter,CLE,SF,21.1
Shaedon Sharpe,POR,SG,21
Andrew Wiggins,GSW,SF,21
Chris Boucher,TOR,PF,21
Luka Garza,MIN,C,21
Julius Randle,MIN,PF,20.9
Immanuel Quickley,TOR,PG,20.9
Kevin Porter Jr.,MIL,SG,20.8
Jared Butler,2TM,SG,20.8
Coby White,CHI,SG,20.7
Jo0s Valančiū0s,WAS,C,20.7
Tre Mann,CHO,PG,20.7
Scottie Barnes,TOR,PF,20.6
Andrew Wiggins,2TM,SF,20.6
Collin Gillespie,PHO,PG,20.6
Caris LeVert,ATL,SG,20.5
