Player,Team,Pos,TRB
Jaylen Martin,WAS,SF,36
Oscar Tshiebwe,UTA,C,18.7
Anthony Davis,DAL,PF,18.6
Alex Reese,OKC,PF,18
Tristen Newton,MIN,SG,18
Miles Norris,BOS,PF,18
Tony Bradley,IND,C,18
Chuma Okeke,PHI,PF,18
Jahmir Young,CHI,PG,18
N'Faly Dante,HOU,C,17.1
Jusuf Nurkić,CHO,C,15.6
0e'Qwan Tomlin,CLE,PF,15.4
Moses Brown,DAL,C,15.3
Kevon Looney,GSW,C,15.2
Andre Drummond,PHI,C,15.2
Charles Bassey,SAS,C,15
Jo0s Valančiū0s,WAS,C,14.8
Nick Richards,PHO,C,14.8
Leo0rd Miller,MIN,SF,14.7
Jo0s Valančiū0s,2TM,C,14.6
Donovan Clingan,POR,C,14.6
Steven Adams,HOU,C,14.6
DeAndre Jordan,DEN,C,14.6
Domantas Sabonis,SAC,C,14.4
Isaiah Hartenstein,OKC,C,14.4
Taze Moore,POR,SG,14.4
Jalen Duren,DET,C,14.3
Walker Kessler,UTA,C,14.3
Clint Capela,ATL,C,14.2
Jusuf Nurkić,2TM,C,14.2
Nick Richards,2TM,C,14
Kevin Love,MIA,PF,14
Ivica Zubac,LAC,C,13.9
Jo0s Valančiū0s,SAC,C,13.9
Jusuf Nurkić,PHO,C,13.9
Mark Williams,CHO,C,13.8
Tristan Thompson,CLE,C,13.8
Karl-Anthony Towns,NYK,C,13.7
Javonte Green,CLE,SG,13.5
Zach Edey,MEM,C,13.4
Moses Brown,2TM,C,13.3
Jalen Smith,CHI,C,13.2
Day'Ron Sharpe,BRK,C,13.1
Maxwell Lewis,BRK,SF,13.1
Jarrett Allen,CLE,C,13
Moussa Diabaté,CHO,C,13
Giannis Antetokounmpo,MIL,PF,12.9
Nick Richards,CHO,C,12.9
Nikola Jokić,DEN,C,12.7
Anthony Davis,2TM,PF,12.6
Mason Plumlee,PHO,C,12.6
Anthony Davis,LAL,C,12.5
Bruno Fer0ndo,TOR,C,12.5
PJ Hall,DEN,C,12.5
Mo Bamba,LAC,C,12.3
Jarred Vanderbilt,LAL,PF,12.3
Deandre Ayton,POR,C,12.1
Robert Williams,POR,C,12.1
Marvin Bagley III,WAS,C,12.1
Alperen Şengün,HOU,C,12
Isaiah Jackson,IND,C,12
Chris Livingston,MIL,SF,12
Jared Rhoden,CHO,SG,12
Jahlil Okafor,IND,C,12
Victor Wembanyama,SAS,C,11.9
Bobby Portis,MIL,PF,11.9
Jaylin Williams,OKC,PF,11.9
Goga Bitadze,ORL,C,11.8
Dereck Lively II,DAL,C,11.8
Jakob Poeltl,TOR,C,11.7
Taj Gibson,CHO,C,11.7
Chet Holmgren,OKC,C,11.6
Nikola Vučević,CHI,C,11.5
Zach Collins,CHI,PF,11.5
Bismack Biyombo,SAS,C,11.5
Onyeka Okongwu,ATL,C,11.4
Trayce Jackson-Davis,GSW,C,11.4
Kel'el Ware,MIA,C,11.4
Kelly Olynyk,NOP,C,11.4
Marvin Bagley III,2TM,PF,11.4
Rudy Gobert,MIN,C,11.3
Daniel Gafford,DAL,C,11.3
Kylor Kelley,DAL,C,11.3
Evan Mobley,CLE,PF,11.2
Richaun Holmes,WAS,PF,11.2
David Roddy,PHI,PF,11.2
Daishen Nix,MIN,PG,11.1
Jericho Sims,NYK,C,11
Jericho Sims,2TM,C,10.9
Keion Brooks Jr.,NOP,SF,10.8
Yves Missi,NOP,C,10.7
Jo0than Isaac,ORL,PF,10.7
Keshad Johnson,MIA,SF,10.7
Mitchell Robinson,NYK,C,10.7
Drew Eubanks,UTA,C,10.6
Jericho Sims,MIL,C,10.6
Bam Adebayo,MIA,C,10.5
Wendell Carter Jr.,ORL,C,10.5
Drew Eubanks,2TM,C,10.5
Jock Landale,HOU,C,10.5
Isaiah Crawford,SAC,SF,10.5
Jabari Walker,POR,SF,10.4
Tristan Vukcevic,WAS,C,10.3
Adama Sanogo,CHI,C,10.3
Riley Minix,SAS,SF,10.3
Jaylen Martin,2TM,SF,10.3
Isaiah Stewart,DET,C,10.2
Moses Brown,IND,C,10.2
Jalen Johnson,ATL,SF,10.1
Luke Kornet,BOS,C,10.1
Nic Claxton,BRK,C,10
Kyle Filipowski,UTA,C,10
Thomas Bryant,MIA,C,10
Precious Achiuwa,NYK,C,9.9
Paul Reed,DET,C,9.9
Thomas Bryant,2TM,C,9.8
Thomas Bryant,IND,C,9.8
Sandro Mamukelashvili,SAS,PF,9.8
Brandon Clarke,MEM,PF,9.7
Jeremy Sochan,SAS,PF,9.7
Neemias Queta,BOS,C,9.7
Drew Eubanks,LAC,C,9.7
Joel Embiid,PHI,C,9.7
Trey Jemison,LAL,C,9.7
Chris Duarte,CHI,SG,9.7
Santi Aldama,MEM,PF,9.6
John Collins,UTA,PF,9.6
John Konchar,MEM,SG,9.6
Orlando Robinson,TOR,C,9.6
Trey Jemison,2TM,C,9.6
RayJ Dennis,IND,PG,9.6
Zach Collins,2TM,PF,9.5
Daniel Theis,NOP,C,9.5
Orlando Robinson,2TM,C,9.5
Trey Jemison,NOP,C,9.5
Chris Boucher,TOR,PF,9.4
Zion Williamson,NOP,PF,9.4
Kyle Anderson,MIA,SF,9.4
Moritz Wagner,ORL,C,9.4
Christian Koloko,LAL,C,9.4
MarJon Beauchamp,MIL,SF,9.4
Kelly Olynyk,2TM,C,9.3
Luka Garza,MIN,C,9.3
Josh Hart,NYK,SG,9.2
Amen Thompson,HOU,SF,9.2
Josh Giddey,CHI,PG,9.2
Tari Eason,HOU,PF,9.2
Jeremiah Robinson-Earl,NOP,PF,9.2
Adem Bo0,PHI,C,9.2
Kobe Brown,LAC,PF,9.1
MarJon Beauchamp,2TM,SF,9.1
Tyler Smith,MIL,PF,9.1
P.J. Washington,DAL,PF,9
Justin Champagnie,WAS,SF,9
Karlo Matković,NOP,PF,9
Quinten Post,GSW,PF,9
Reece Beekman,GSW,PG,9
Ulrich Chomche,TOR,PF,9
Lamar Stevens,MEM,PF,9
Trentyn Flowers,LAC,SF,9
Alex Reese,2TM,PF,9
Tristen Newton,2TM,SG,9
Skal Labissière,SAC,PF,9
Alex Len,SAC,C,8.9
Luka Dončić,LAL,PG,8.8
Ben Simmons,LAC,PG,8.8
Trey Lyles,SAC,PF,8.8
Bol Bol,PHO,PF,8.8
Orlando Robinson,SAC,C,8.8
Alex Len,2TM,C,8.8
Devin Carter,SAC,PG,8.8
Jayson Tatum,BOS,PF,8.7
Miles Bridges,CHO,PF,8.7
Alex Sarr,WAS,C,8.7
Dario Šarić,DEN,C,8.7
Branden Carlson,OKC,C,8.7
Jaxson Hayes,LAL,C,8.6
Zach Collins,SAS,C,8.6
Dwight Powell,DAL,C,8.6
Luka Dončić,2TM,PG,8.5
Micah Potter,UTA,C,8.5
Kai Jones,DAL,C,8.5
Ariel Hukporti,NYK,C,8.5
Vlatko Čančar,DEN,PF,8.5
Bobi Klintman,DET,SF,8.5
Lester Quiñones,PHI,SG,8.5
LeBron James,LAL,SF,8.4
Luka Dončić,DAL,PG,8.4
Kristaps Porziņģis,BOS,C,8.4
Kelly Olynyk,TOR,C,8.4
Jo0than Mogbo,TOR,PF,8.3
Stanley Umude,MIL,SG,8.3
Ausar Thompson,DET,SF,8.2
Mason Jones,SAC,SG,8.2
Scottie Barnes,TOR,PF,8.1
Kenrich Williams,OKC,PF,8.1
Dillon Jones,OKC,SF,8.1
Alex Len,LAL,C,8.1
Armel Traoré,LAL,SF,8.1
Jacob Toppin,NYK,SF,8.1
Deni Avdija,POR,SF,8
Julius Randle,MIN,PF,8
Kyle Kuzma,MIL,PF,8
Larry 0nce Jr.,ATL,PF,8
Kai Jones,2TM,C,8
Kai Jones,LAC,C,8
Torrey Craig,CHI,SF,8
Jordan Goodwin,LAL,PG,8
Pascal Siakam,IND,PF,7.9
0z Reid,MIN,C,7.9
Dean Wade,CLE,PF,7.9
Tidjane Salaün,CHO,PF,7.9
Oso Ighodaro,PHO,PF,7.9
Luke Travers,CLE,SG,7.9
Jabari Smith Jr.,HOU,PF,7.8
Kyle Anderson,2TM,PF,7.8
Olivier-Maxence Prosper,DAL,PF,7.8
Gui Santos,GSW,PF,7.8
Jaylon Tyson,CLE,SG,7.8
Patrick Baldwin Jr.,WAS,SF,7.8
Kevin Knox,GSW,SF,7.8
Draymond Green,GSW,PF,7.7
Ben Simmons,2TM,PG,7.7
Gary Payton II,GSW,SG,7.7
Mouhamed Gueye,ATL,PF,7.7
Alex Reese,PHI,PF,7.7
Myles Turner,IND,C,7.6
Al Horford,BOS,C,7.6
Kyle Kuzma,2TM,PF,7.6
David Roddy,2TM,PF,7.6
Torrey Craig,2TM,SF,7.6
Liam Robbins,MIL,C,7.6
Kyle Kuzma,WAS,PF,7.5
Jake LaRavia,MEM,PF,7.5
Obi Toppin,IND,PF,7.5
Paolo Banchero,ORL,PF,7.5
Ben Simmons,BRK,PG,7.5
Michael Porter Jr.,DEN,SF,7.4
Guerschon Yabusele,PHI,C,7.4
Jaime Jaquez Jr.,MIA,SF,7.4
Josh Okogie,PHO,SG,7.4
Vince Williams Jr.,MEM,SG,7.4
Pat Spencer,GSW,PG,7.4
Jake LaRavia,2TM,PF,7.3
Kyle Anderson,GSW,PF,7.3
David Roddy,ATL,PF,7.3
Ousmane Dieng,OKC,C,7.3
Jaren Jackson Jr.,MEM,C,7.2
Wendell Moore Jr.,DET,SG,7.2
Drew Peterson,BOS,PF,7.2
Taylor Hendricks,UTA,PF,7.2
Cui Yongxi,BRK,SG,7.2
Mac McClung,ORL,SG,7.2
James Wiseman,IND,C,7.2
Keegan Murray,SAC,PF,7.1
Ziaire Williams,BRK,SF,7.1
Dejounte Murray,NOP,PG,7.1
Kessler Edwards,DAL,SF,7.1
Wendell Moore Jr.,2TM,SG,7.1
Dominick Barlow,ATL,SF,7.1
Alex Ducas,OKC,SG,7.1
Maxwell Lewis,2TM,SF,7.1
Kevin Porter Jr.,MIL,SG,7
Jae'Sean Tate,HOU,SF,7
GG Jackson II,MEM,PF,7
Hunter Tyson,DEN,PF,7
Torrey Craig,BOS,SF,7
Baylor Scheierman,BOS,SG,7
Markieff Morris,DAL,PF,7
Colin Castleton,MEM,C,7
Cam Christie,LAC,SG,7
RJ Barrett,TOR,SF,6.9
Desmond Bane,MEM,SG,6.9
Royce O'Neale,PHO,SF,6.9
Lauri Markkanen,UTA,PF,6.9
Keldon Johnson,SAS,SF,6.9
Brandin Podziemski,GSW,SG,6.9
