Team,Count,AvgPoints,AvgRebounds,AvgAssists,AvgeFGPct,AvgMP
2TM,65,14.441538461538462,6.970769230769231,3.8615384615384616,0.5168,704.7846153846153
3TM,1,17.4,3.4,6.9,0.497,1595
ATL,20,16.825,6.39,3.39,0.5737,760.95
BOS,18,13.15,7.277777777777778,2.8722222222222222,0.5024444444444445,846.8888888888889
BRK,22,15.60909090909091,5.836363636363636,3.518181818181818,0.5083181818181818,679.8636363636364
CHI,22,15.195454545454545,7.068181818181818,4.281818181818182,0.5046818181818182,690.6818181818181
CHO,25,13.959999999999999,6.952,3.808,0.48848,588.6
CLE,20,16.465,7.19,3.605,0.56795,745.2
DAL,23,16.578260869565216,7.521739130434783,3.6652173913043478,0.571,659.6086956521739
DEN,17,13.794117647058824,7.2,3.4176470588235297,0.5235294117647059,881.1764705882352
DET,19,15.005263157894737,5.794736842105263,3.8473684210526318,0.4916315789473684,801.0526315789474
GSW,22,15.886363636363637,7.163636363636364,4.677272727272727,0.5328636363636363,688.4090909090909
HOU,17,16.076470588235296,7.517647058823529,2.847058823529412,0.5237647058823529,893.8235294117648
IND,22,15.136363636363637,7.181818181818182,3.690909090909091,0.4749090909090909,668.9090909090909
LAC,22,15.713636363636363,6.5227272727272725,3.3727272727272726,0.5385,679.7272727272727
LAL,24,13.316666666666666,6.029166666666667,3.2666666666666666,0.5300416666666666,612.0833333333334
MEM,21,15.166666666666666,6.533333333333333,3.623809523809524,0.5019047619047619,709.7142857142857
MIA,20,14.095,6.605,3.585,0.5235,743.25
MIL,22,14.495454545454546,6.931818181818182,3.65,0.5307727272727273,666.7272727272727
MIN,19,13.105263157894736,6.968421052631579,4.189473684210526,0.46142105263157895,812.2631578947369
NOP,22,15.054545454545455,6.9,4,0.5024090909090909,690.7272727272727
NYK,17,13.676470588235293,6.323529411764706,3.3529411764705883,0.5381764705882353,884.1764705882352
OKC,19,15.947368421052632,7.6,3.0842105263157893,0.5308421052631579,784.4736842105264
ORL,17,14.158823529411764,6.076470588235294,3.9058823529411764,0.47141176470588236,906.3529411764706
PHI,24,14.825,6.795833333333333,3.25,0.5004583333333333,624.0833333333334
PHO,19,14.505263157894737,6.510526315789474,3.2263157894736842,0.5071578947368421,789.8421052631579
POR,18,13.88888888888889,6.888888888888889,2.861111111111111,0.46055555555555555,842.7222222222222
SAC,23,14.043478260869565,6.917391304347826,3.8869565217391306,0.5105652173913043,644.2173913043479
SAS,21,14.452380952380953,6.8428571428571425,4.780952380952381,0.517095238095238,688.2380952380952
TOR,21,13.790476190476191,6.514285714285714,3.7285714285714286,0.49057142857142855,714.4761904761905
UTA,20,14.62,6.935,3.22,0.5334,749
WAS,22,15.177272727272728,7.909090909090909,3.5818181818181816,0.48672727272727273,667.8636363636364
